Ticker,EPS,PE,PEG,PS,PB,VEBITDA,Dividend Yield,Beta,Book Value,Industry
HSW.L,10.8,6.9398146,,,44.560043,,,2.219611,195651922.0,Travel Services
GWO.TO,2.741,11.058008,2.71,0.5170244,1.3426356,-18.603,0.057800002,0.833003,20943436483.2,Insurance—Life
GLEN.L,-24.9,5.886956,,0.2019794,99.26686,8.21,0.1282,1.475485,36348691185.664,Other Industrial Metals & Mining
LLOY.L,1,34.77,,2.0121548,60.680626,,,1.289581,40590860279.808,Banks—Regional
LVS,-0.99,43.69355,2.76,6.9262257,12.940053,70.934,,1.366596,3198147702.0160003,Resorts & Casinos
KO,1.93,25.124353,11.75,6.2257595,11.198615,21.376,0.033800002,0.581407,18607871969.28,Beverages—Non-Alcoholic
HNP,0.32,47.25,,,0.4684015,,0.0513,0.613891,12668350560.0,Utilities—Independent Power Producers
HYPE3.SA,1.898,18.25606,,5.6528134,2.3424826,33.532,0.0335,0.605734,9369415630.336,Drug Manufacturers—Specialty & Generic
HSBA.L,-11,5.29026,,1.900068,42.802353,,,0.573544,193845111404.54398,Banks—Diversified
GIS,3.902,14.343926,3.02,1.8714217,4.0024314,11.684,0.0364,0.553046,8550334896.128,Packaged Foods
HTLD,0.87,22.402298,1.46,2.4361064,2.170137,7.788,0.0041,0.536239,724344593.0,Trucking
GTT,-2.859,-2.5789475,-0.05,0.13544759,1.1642412,10.218,,1.641281,198045256.5,Telecom Services
GPS,-2.903,18.072,6.23,0.60137475,3.5630915,88.053,,1.524159,2371343809.2799997,Apparel Retail
LAZ,2.547,17.055359,2.33,1.8886744,6.574845,,0.0433,1.666491,693946424.0,Capital Markets
KEY,1.274,14.285714,-18.35,3.1348755,1.104369,,0.040700004,1.579306,16092275435.52,Banks—Regional
JBLU,-2.958,-11.07971,0.12,1.1114374,1.1208856,-9.151,,1.570378,4289535328.128,Airlines
MCD,6.555,32.55225,6.29,8.352909,,23.061,0.0242,0.580882,-8471911797.12,Restaurants
L,-3.892,16.031034,,1.0022625,0.7360439,29.463,0.0054,0.896008,17361527920.704,Insurance—Property & Casualty
JJSF,0.96,159.46875,8.92,2.8393543,3.5771198,35.016,0.0152,0.579306,811247092.9,Packaged Foods
HRB,1.022,16.32094,0.53,0.9849572,,6.632,0.0624,0.717436,-279895868.0,Personal Services
MAT,-0.011,33.4,5.09,1.4427052,15.808951,17.561,,1.423319,404422480.0,Leisure
GSK,0.992,38.669357,3.75,,15.943476,,0.0542,0.319713,6051066132.4800005,Drug Manufacturers—General
GEO,1.16,7.2068963,0.48,0.4236942,1.067552,9.846,0.115600005,0.872899,950017765.0,REIT—Healthcare Facilities
GRPN,-7.901,35.31522,0.87,0.555191,9.486132,-43.29,,2.577205,98683497.5,Internet Content & Information
ITUB4.SA,1.898,15.421496,,3.9613776,2.103788,,0.01,1.180804,66840420549.12,Banks—Regional
LE,0.505,59.38614,5.11,0.67978674,2.8351295,15.121,,2.665441,344925308.4,Specialty Retail
LYFT,-5.374,-35.15441,0.32,5.3988166,7.5780635,-8.927,,,1947714480.0,Software—Application
ILMN,4.314,94.17014,14.11,18.317635,12.619595,57.491,,1.133403,4700032000.0,Diagnostics & Research
KDP,0.91,34.582417,1.92,3.8742154,1.9010509,16.73,0.0191,0.605128,23295617294.592,Beverages—Non-Alcoholic
MA,6.663,49.375656,5.16,21.030994,56.624783,36.55,0.0053,1.185924,5743010792.96,Credit Services
KL,2.833,14.179315,,4.94603,2.224622,6.864,0.0185,0.645717,4821652368.0,Gold
K,3.452,16.88876,7.33,1.4811492,6.5831075,12.19,0.039100002,0.601365,3043922257.152,Packaged Foods
M,-12.118,19.51515,0.35,0.20364398,1.7829458,555.098,,2.01313,2242893187.584,Department Stores
GM,2.23,24.84305,1.43,0.68479586,1.7895213,16.488,,1.438025,44310493494.016,Auto Manufacturers
LUV,-3.014,-175.51851,0.46,2.1921318,2.863444,113.734,,1.22689,9772344435.2,Airlines
IRM,0.46,65.54348,15.91,2.084935,9.268368,13.729,0.082100004,0.822478,937420289.024,REIT—Specialty
KKR,1.707,23.550089,1.52,4.8522677,2.1484687,,0.013099999,1.423844,10650095229.311998,Asset Management
LMT,23.21,14.643689,1.71,1.4801848,19.199007,10.737,0.0306,0.912815,4953016152.0,Aerospace & Defense
KWR,0.36,760.8333,4.7,3.4319513,3.9837103,29.83,0.0058999998,1.521008,1226011658.0,Specialty Chemicals
JNJ,6.36,25.715408,4.72,5.3249226,6.6771455,16.048,0.0247,0.695903,64481432408.576,Drug Manufacturers—General
HBIO,-0.173,15.137931,2.74,1.6760288,2.2171717,25.297,,1.733193,77171490.0,Medical Instruments & Supplies
HES,-10.58,-37.223602,0.91,3.7672722,3.0902903,14.467,0.0167,2.243697,5955144105.856,Oil & Gas E&P
GOOG,51.752,36.73385,2.17,7.472038,6.0510426,24.563,,0.994747,103633988036.35199,Internet Content & Information
