Ticker,EPS,PE,PEG,PS,PB,VEBITDA,Dividend Yield,Beta,Book Value,Industry
C,4.874,12.583095,7.62,2.187723,0.70826405,,0.033299997,1.95168,180293200429.056,Banks—Diversified
DXC,-15.199,8.375358,-1.42,0.39363027,1.6882292,5.843,,2.477415,4404889368.0,Information Technology Services
CSII,-0.663,-933,-2.47,8.04736,6.974137,-111.39,,1.182247,268392780.5,Medical Devices
CEO,11.5,8.493043,,,0.72455484,,0.0857,1.113891,60184831078.4,Oil & Gas E&P
DLTR,4.049,26.643616,1.75,1.0126039,3.644964,12.538,,0.773634,6960977624.0,Discount Stores
COST,9.74,37.197124,4.16,0.92802584,10.799773,19.414,0.0077,0.657563,14859811653.376,Discount Stores
FL,3.187,14.919987,-5.15,0.6537309,1.8711631,13.416,0.0126,1.269432,2648235344.0,Footwear & Accessories
FIVE,1.963,96.62251,5.5,5.917726,14.136543,58.59,,1.194327,749630598.9,Specialty Retail
D,-0.22,18.631443,-21.52,3.5278792,2.4631162,13.578,0.0349,0.305672,23943472065.792,Utilities—Diversified
CVX,-6.182,25.551533,939.7,1.6946045,1.299881,12.656,0.0561,1.318277,135844109067.26399,Oil & Gas Integrated
GBCI,2.569,19.929934,1.86,7.058266,2.1662788,,0.024300002,1.035714,2255128798.0,Banks—Regional
BWA,1.76,24.318182,2.37,1.1895218,2.1999485,8.445,0.0159,1.754201,4757117300.639999,Auto Parts
ENDP,-0.678,3.0394735,-0.22,0.54887,,24.292,,1.419117,-782532216.0,Drug Manufacturers—Specialty & Generic
BRML3.SA,-0.105,12.226666,,7.3994756,0.73365873,19.146,,0.913181,10545769070.976,Real Estate Services
EQTL3.SA,2.853,7.7111816,,1.2244396,2.2876158,6.046,0.0145000005,0.720031,9718074823.872002,Utilities—Regulated Electric
CPG,-0.391,18.75,,,0.24656859,,0.0026,3.4099,6448948012.0,Oil & Gas E&P
CVS,6.05,12.25124,2.2,0.36570635,1.4100639,9.328,0.027,0.807247,68802851626.87999,Healthcare Plans
FFH.TO,-2.375,11.279791,,0.65514946,1.0211661,65.698,0.027999999,0.959735,11269700711.199999,Insurance—Property & Casualty
EXR,3.368,34.26663,5.49,11.171443,6.2356825,23.83,0.0312,0.186974,2431173864.0,REIT—Industrial
CASY,8.823,22.374475,3.26,0.9923804,3.9204433,10.898,0.0069,0.875,1859860237.8,Grocery Stores
CS,-0.141,8.745222,,,0.8127146,,0.0224,1.732379,41248390399.99999,Banks—Diversified
FCX,-0.079,14.050691,0.16,3.2538567,4.7962875,21.045,0.0348,2.266281,9235894691.712,Copper
