Ticker,EPS,PE,PEG,PS,PB,VEBITDA,Dividend Yield,Beta,Book Value,Industry
VIV,1.396,5.8667617,-1.61,,0.7351884,,0.0913,0.259259,18806213621.760002,Telecom Services
VFC,-0.129,28.62116,5.93,3.6572301,11.102873,37.9,0.0234,0.973992,2945700212.0,Apparel Manufacturing
TWTR,-1.582,53.4,3.64,11.129091,4.8752284,118.068,,0.863445,7840560457.728001,Internet Content & Information
ZNGA,-0.394,25.5,2.24,6.5538583,4.10817,36.128,,0.199054,2812953166.848,Electronic Gaming & Multimedia
WBK,1.701,9.847149,,,1.2043428,,0.047,0.78192,50213026627.584,Banks—Diversified
WTB.L,-398.3,0.12528099,,5.0869803,134.44473,-202.819,,1.212972,4685351076.288,Restaurants
SMIN.L,66.4,22.51506,,2.3254936,249.62431,19.038,0.0234,0.759448,2373710157.088,Specialty Industrial Machinery
ZENA.TO,-0.306,3,,1.0287628,0.8633093,-35.605,,0.724713,105924672.00000001,Drug Manufacturers—Specialty & Generic
VRSK,4.029,47.84314,3.41,11.404966,12.956913,28.164,0.0055,0.785189,2418851430.0,Consulting Services
VRA,0.394,21.497463,0.73,0.5861756,0.9284227,7.457,,1.856092,304793043.9,Footwear & Accessories
TXRH,0.78,102.19231,10.82,2.228419,6.133898,34.329,,1.004201,902925035.52,Restaurants
TRCH,-0.14,-27.5,,515.3403,10.443037,-62.305,,2.611869,15743309.6,Oil & Gas E&P
WDFC,5.24,55.139313,5.47,9.102238,22.66473,40.809,0.0093,-0.155987,174497173.6,Specialty Chemicals
YORW,1.25,36.568,7.76,11.155453,4.2175674,22.53,0.0164,0.147584,141435900.0,Utilities—Regulated Water
XOM,0.778,60.964012,-9.98,1.0239198,1.13047,14.338,0.0734,1.344012,177399613180.928,Oil & Gas Integrated
WFC,0.41,77.80488,-3.13,2.2709439,0.8030005,,0.0125,1.272584,164624940624.384,Banks—Diversified
UGP,0.523,7.6864243,35.8,,0.90134525,,0.0257,1.17483,4852658114.56,Oil & Gas Refining & Marketing
WYND,-1.041,15.0623045,-5.88,1.6625525,,30.014,0.0248,1.931197,-999940653.2160001,Lodging
SUN,1.59,19.477987,-2.41,0.2514491,4.0526037,10.113,0.1066,1.852415,634966932.768,Oil & Gas Refining & Marketing
UNFI,2.004,12.48503,-1.38,0.052231092,1.221143,7.643,,1.503676,1150158210.6000001,Food Distribution
SVT,0.511,16.829746,,0.38154536,0.59388167,6.874,,0.873424,36034954.83,Electrical Equipment & Parts
YUM,3.444,31.094656,4.04,5.765773,,22.247,0.0176,1.012079,-7910338296.0,Restaurants
UL,2.527,23.609022,,,11.872637,,0.0325,0.085801,13211931321.6,Household & Personal Products
WORK,-1.772,-203.09525,,29.477175,31.9955,-100.264,,,653896474.336,Software—Application
SULA11.SA,6.945,5.7509,,0.64188874,1.7827969,0.025,0.048499998,0.954998,8830142808.448,Insurance—Property & Casualty
ULTA,4.013,74.73711,252.69,2.6995711,9.110572,26.601,,1.726365,1854666712.0,Specialty Retail
UBER,-3.977,-35.730263,-0.22,7.7449694,10.695156,-26.725,,,9401003284.992,Software—Application
TAK,0.8115,22.341341,4642.72,,1.4445639,,0.0469,1.091419,39241774055.808,Drug Manufacturers—Specialty & Generic
SJW,1.492,45.315014,2.35,3.4808185,2.1141999,17.236,0.0189,0.303571,913198719.8,Utilities—Regulated Water
THS,-0.09,13.328948,1.46,0.53101873,1.2528601,8.94,,0.620798,1827620546.3999999,Packaged Foods
SOHU,-3.764,24.746666,0.1,0.49513248,2.5677917,10.274,,2.222325,283834163.59999996,Internet Content & Information
TAP,2.69,18.780668,-4.97,1.1140219,0.8101737,8.496,,1.157037,12489919530.144,Beverages—Brewers
UBS,1.517,9.808833,0.73,1.700739,0.89800847,,0.024500001,1.210929,59452167390.72,Banks—Diversified
TSLA,0.523,1618.8146,0.86,28.482784,50.067417,200.207,,2.190651,16029005774.72,Auto Manufacturers
UTSI,-0.506,-11.625,,1.6390346,0.7676434,-2.858,,1.431722,86298294.9,Communication Equipment
UGI,2.54,14.637795,1.76,1.1814895,1.8766404,9.02,0.0355,0.942226,4129395189.504,Utilities—Regulated Gas
ZNH,2.25,12.284444,,,0.67414635,,,1.645556,12570025344,Airlines
SRE,13.013,9.332974,2.08,3.14438,1.741818,14.306,0.0344,0.616071,20113860335.616,Utilities—Diversified
SKYW,2.183,19.45946,18.14,0.93375695,0.97556496,12.331,,2.099264,2183304868.7999997,Airlines
SU,2.268,7.8042336,1.92,,0.82826394,,0.036,1.953795,32592454474.24,Oil & Gas Integrated
ZGNX,-3.835,-6.892857,-0.57,151.55017,2.5455024,-3.158,,1.519957,422113444.2,Biotechnology
TCS,0.378,32.8836,1.01,0.7223586,2.0869713,14.232,,1.579306,301106175.6,Specialty Retail
TWI,-1.123,-176.25002,-0.34,0.3505993,2.5432901,35.756,,2.46376,170137044.0,Farm & Heavy Construction Machinery
UAA,-1.659,142.38463,8.99,1.7306448,5.7235622,76.963,,1.126575,609718956.0,Apparel Manufacturing
TJX,0.622,107.57236,32.46,2.405199,14.429588,44.42,0.0155,0.9375,5567321384.191999,Apparel Retail
VOD,-2.82,23.131578,,,0.6856474,,0.060599998,0.788049,68802374359.04001,Telecom Services
TEVA,-3.685,4.771863,1.46,0.7841247,1.4337941,8.462,,1.495798,9593025830.144001,Drug Manufacturers—Specialty & Generic
WEN,0.459,45.42484,3.34,3.4366977,8.960035,20.963,0.0134000005,0.990546,521524931.616,Restaurants
SSRM,0.498,35.08032,-1.1,5.8494954,1.1499473,16.916,,1.262706,3334203553.5360003,Gold
X,-10.224,45.02381,-0.49,0.41665894,1.2083839,-29.77,0.0021,2.48792,3448664024.0,Steel
