Ticker,EPS,PE,PEG,PS,PB,VEBITDA,Dividend Yield,Beta,Book Value,Industry
NCLH,-13.448,-4.7471046,0.06,2.8213882,1.6580136,-39.53,,2.870273,4681197516.0,Travel Services
MET,6.105,8.330876,2.44,0.6980861,0.62820375,14.949,0.036199998,1.353991,72860770341.312,Insurance—Life
PSON.L,34.4,20.784883,,1.5245371,129.76405,15.392,0.0271,0.16241,4149581176.3199997,Publishing
SANB11.SA,0.834,48.681053,,5.008939,2.9267588,,0.0174,1.066507,0.0,Banks—Regional
MNST,2.219,39.74763,2.6,10.535498,10.058159,27.873,,1.110819,4629304102.848001,Beverages—Non-Alcoholic
RDSA.L,-214.5,,,0.49268812,70.370186,6.114,0.0347,0.965781,82758923251.456,Oil & Gas Integrated
MIDD,4.787,28.566952,3.12,2.957311,3.7439084,17.997,,1.767331,2031294869.8000002,Specialty Industrial Machinery
MCRO.L,-258,1.9057692,,0.42209575,26.447824,5.73,,2.406026,5020080720.0,Software—Infrastructure
PTR,4.4,7.4340906,,,0.32354105,,0.0773,0.839121,185034235852.8,Oil & Gas Integrated
PKX,8.628,6.9517846,1.29,,0.52410257,,0.025999999,1.05217,36457730210.592,Steel
NTIC,-0.147,22.523079,1.37,2.9111686,2.2835753,-58.386,0.0179,1.230567,58369847.04,Specialty Chemicals
ROCK,2.661,36.223225,1.62,2.7913344,4.1981707,20.343,,1.243172,746707416.0,Building Products & Equipment
PSX,-6.137,23.253206,14.1,0.4123865,1.6068305,35.807,0.049200002,1.659138,19721956800.0,Oil & Gas Refining & Marketing
ONGC.NS,2.577,35.991463,,0.35185784,0.555017,4.993,0.062,1.067702,2102319056166.9119,Oil & Gas Integrated
PFE,1.538,23.76463,-12.81,4.176027,3.1122274,13.256,0.0427,0.638655,65277849600.0,Drug Manufacturers—General
NKE,1.774,78.5513,1.38,5.7427692,20.62611,43.321,0.007900001,0.836659,8590119312.384,Footwear & Accessories
PETR3.SA,-3.421,8.037681,,1.2519989,1.4600884,6.236,0.0342,1.992433,141342827601.92,Oil & Gas Integrated
MTh,9.698,9.825737,-4.86,0.82142144,1.6292231,7.986,,1.65231,2199856504.8,Residential Construction
MYGN,-2.605,190.21428,-10.53,3.3520591,2.2022824,-25.467,,1.722163,909445317.6320001,Diagnostics & Research
RGLD,3.59,29.2312,1.89,13.167473,2.92687,16.75,0.0114,0.67647,2352187328.4,Gold
SHOP,1.619,739.16,3.1,59.724747,23.619389,2375.085,,1.595063,5575489304.0,Software—Application
ORCL,3.306,18.257713,1.3,4.6122713,22.505594,12.345,0.015700001,0.750525,8075206937.087999,Software—Infrastructure
NXPI,-0.511,20.986603,3.06,5.73411,5.4300213,24.204,0.0086,1.505777,8876747757.696001,Semiconductors
