Ticker,EPS,PE,PEG,PS,PB,VEBITDA,Dividend Yield,Beta,Book Value,Industry
ALL,14.282,7.7321105,1.39,0.7589158,1.3272678,4.578,0.0196,0.807773,25298761667.999996,Insurance—Property & Casualty
0384.HK,1.76,16.789772,,2.62041,3.446868,13.389,0.016900001,0.349846,44685647324.16,Utilities—Regulated Gas
000333.SZ,3.583,28.068659,,2.5798008,6.2137785,23.926,0.0159,1.08841,113782333716.48,Consumer Electronics
ADBE,10.83,43.62327,2.44,17.575151,17.061138,46.771,,0.971638,13283899050.528,Software—Infrastructure
BHP,3.14,22.863056,,4.216599,3.7871916,9.756,0.0306,0.959652,47938965760.0,Other Industrial Metals & Mining
2318.HK,9.398175,10.374354,,,22.209568,,0.0238,1.052093,32694876902.399998,Insurance—Life
601888.SS,1.833,154.39171,,11.768695,28.114445,113.159,0.0025,1.430505,19653663680.0,Travel Services
3690.HK,,,,,44.1477,,,1.117735,44338021902.336,Internet Retail
002415.SZ,1.393,47.91098,,10.420719,13.047898,42.293,0.0105,1.234966,47791595427.840004,Computer Hardware
300760.SZ,5.242,91.2209,,28.721003,26.364891,76.333,0.0031,-0.310455,22048969239.808,Medical Devices
BRDT3.SA,0.73,28.630136,,0.2971394,2.5324123,13.402,0.020499999,0.916614,9614744471.808,Specialty Retail
000002.SZ,3.557,8.226033,,0.8594063,1.6772715,7.172,0.0347,0.651135,169638667883.52,Real Estate—Development
BNED,-1.685,-49,-0.16,0.15424085,0.6319319,-24.849,,2.493172,380439154.4,Specialty Retail
2202.HK,2.111375,13.995618,,,15.326763,,0.0378,0.651135,3650745058.304,Real Estate—Development
0267.HK,1.85,3.3189187,,0.25086367,0.2992057,0.525,0.0627,0.652196,596962044329.984,Conglomerates
002142.SZ,2.338,16.163387,,7.5404844,2.2594917,,0.013200001,0.812425,100484133964.8,Banks—Regional
BPFH,0.55,24.054544,2.02,3.688583,1.2549801,,0.018099999,1.150735,867968232.768,Banks—Regional
ACH,0.325,26.153847,,,0.64761907,,,2.008171,8936904480.0,Aluminum
B3SA3.SA,1.85,31.648647,,15.482136,4.7858424,22.214,0.031,1.029868,24886157728.512,Financial Data & Stock Exchanges
0939.HK,1.173375,5.1645894,,,5.410714,,0.0577,0.693054,269267037061.12003,Banks—Diversified
601138.SS,0.856,17.231308,,0.7124619,3.0838387,15.109,0.013200001,0.77251,95041075820.544,Communication Equipment
AFL,6.357,7.30376,1.56,1.493544,1.0057839,8.32,0.028399998,0.966386,32426968165.696,Insurance—Life
BBDC3.SA,1.63,13.447853,,3.4074287,1.4089215,,0.0094,1.356033,19510510646.784,Banks—Regional
600007.SS,0.845,14.4733715,,3.894929,1.5792872,7.853,0.0311,0.639585,7800376320.0,Real Estate Services
BBDC4.SA,1.63,15.343558,,3.4074295,1.6075331,,0.0091,1.356033,66390340248.576,Banks—Regional
BBD-B.TO,-0.933,-3.6190476,-0.21,0.1276509,,119.939,,3.110231,-7996156202.495999,Aerospace & Defense
600900.SS,1.089,17.364555,,7.869183,2.5928972,12.836,0.036,0.19992,165856671332.352,Utilities—Independent Power Producers
BBSE3.SA,2.053,13.843157,,10.633054,8.9258795,10.934,0.098000005,0.985663,6357269970.944,Insurance—Diversified
BPAC11.SA,1.477,62.884224,,2.751601,9.671978,,0.013200001,1.534511,0.0,Capital Markets
600009.SS,0.154,462.14285,,22.210035,4.6106505,434.06,0.0111,0.705694,29744554560.0,Airports & Air Services
600519.SS,35.49,58.606647,,28.49012,17.600443,42.045,0.0082,0.85225,148452683636.736,Beverages—Wineries & Distilleries
0941.HK,5.822175,8.175638,,,6.2149105,,0.0643,0.502042,156821858666.496,Telecom Services
000858.SZ,4.998,59.13565,,20.667704,14.2824,42.474,0.0074,1.256471,80326037008.896,Beverages—Wineries & Distilleries
600276.SS,1.1,102.36363,,23.308605,21.217258,84.32,0.0018000001,0.422142,28295439058.944,Drug Manufacturers—General
BNZL.L,113.7,21.178541,,0.84139687,423.0499,13.55,0.0214,0.39479,1918198353.536,Food Distribution
BRFS3.SA,1.428,14.488796,,0.44083354,2.3581035,10.881,,1.218637,7086821288.191999,Packaged Foods
AC.TO,-12.173,-6.9247646,0.04,0.78366,3.8217993,-7.993,,2.533333,1934646827.52,Airlines
ABEV3.SA,0.547,27.696526,,4.2474737,3.0556674,12.342,0.0050999997,0.848665,78013632772.09601,Beverages—Brewers
BBAS3.SA,5.267,6.39643,,1.5955949,0.80158937,,0.0438,1.358422,119918826649.856,Banks—Regional
0914.HK,7.096125,6.834716,,,16.313488,,0.044899996,0.96527,3863710800.0,Building Materials
0700.HK,11.01408,62.737877,,,136.6693,,0.0017,0.607763,48460395446.272,Internet Content & Information
BRKM5.SA,-13.141,5.9726367,,0.37119192,,21.313,,0.838311,-1929202030.112,Chemicals
600585.SS,6.51,8.030722,,1.5374492,1.8284194,4.367,0.0383,0.96527,114363421185.024,Building Materials
ANF,-1.811,20.266666,-1.24,0.47597042,1.7862651,12.42,,1.83771,849449380.5,Apparel Retail
ACB,0.216,49.305553,,,3.0968304,,,3.260066,631592984.0,Drug Manufacturers—Specialty & Generic
BMY,-0.022,8.654155,0.49,3.7032478,2.9086323,10.137,0.0305,0.65126,50157408514.048004,Drug Manufacturers—General
APAM,2.992,17.643717,0.81,4.8982263,22.31192,10.141,0.0529,1.912289,145332733.0,Asset Management
AZN,0.95,56.05263,1.1,5.4165945,11.457773,20.418,0.026300002,0.206332,12201267203.84,Drug Manufacturers—General
ABBV,4.572,24.247595,0.96,4.81476,12.816186,14.962,0.0469,0.819327,15271315084.800001,Drug Manufacturers—General
AEO,-1.253,18.39394,-198.01,1.0670371,3.77605,35.402,0.0227,1.428571,1068563120.0,Apparel Retail
APD,8.486,33.41975,2.98,7.0785203,5.1889124,18.935,0.0189,0.794117,12072961570.0,Chemicals
BBW,-1.834,19.652174,-0.11,0.27096775,1.197351,-61.862,,1.880252,60250132.5,Specialty Retail
BCS,0.112,69.73214,,,0.39920264,,,1.399897,84904239106.048,Banks—Diversified
AAPL,3.28,42.39939,2.54,8.522728,36.131466,30.976,0.0058999998,1.283613,64752882069.504005,Consumer Electronics
BECN,-1.525,12.987804,1.75,0.42817482,1.6692789,13.401,,1.967962,1770922222.08,Building Products & Equipment
AMTX,-1.392,-3.0769234,,0.53229976,,48.822,,0.102941,-182139279.3,Oil & Gas Refining & Marketing
ARCB,1.577,30.716549,1.46,0.4331877,1.5333966,6.752,0.0066000004,1.80042,802635561.0,Trucking
AMN,1.87,40.149734,3.5,1.5030093,4.371216,16.668,,0.515756,807801020.8,Medical Care Facilities
BIDU,12.834,19.693783,138.92,,3.629536,,,1.170168,23751509412.0,Internet Content & Information
BBY,6.562,17.514479,1.49,0.6537763,7.257056,8.89,0.0191,1.524684,4099122384.0,Specialty Retail
BMY,-0.022,8.654155,0.49,3.7032478,2.9086323,10.137,0.0305,0.65126,50157408514.048004,Drug Manufacturers—General
BA,-7.887,164.672,-1.76,1.9123319,,-67.954,,1.656512,-11821257864.960001,Aerospace & Defense
BABA,9.31,27.77873,47.8,,10.429067,,,0.98897,67094459132.92799,Internet Retail
BP,-6.42,14.826087,6.04,0.39351338,1.1854391,8.423,0.052800003,0.695097,68276543109.119995,Oil & Gas Integrated
AXP,4.062,31.053669,5.72,3.1507688,4.643304,,0.0136,1.355042,21874117097.344,Credit Services
APTV,6.563,21.254,23.97,3.0253646,5.1155205,29.192,,2.259978,7363041481.856,Auto Parts
ACHC,1.133,45.904675,1.71,1.4709046,1.7542498,14.276,,1.494747,2638411097.6,Medical Care Facilities
ASH,-8.379,17.443993,1.05,2.2331746,1.7209163,15.306,0.0127,1.342436,3018371328.0,Specialty Chemicals
BAX,1.767,44.997173,2.9,3.5222564,4.7406397,15.759,0.0123000005,0.646008,8567439227.647999,Medical Instruments & Supplies
AMZN,34.202,96.25841,2.72,4.747531,19.966219,38.444,,1.198004,82591749461.76,Internet Retail
