name,ticker,eps,pe,peg,ps,pb,valueToEbitda,debtToEbitda,beta,grossMargin,operatingMargin,netMargin,dividendYield,currentRatio,ROE,return1y,industryScore
Sohu.com Limited,SOHU,-3.76,24.75,0.1,0.5,2.57,10.27,9.6,2.22,47.0%,0.63%,-8.09%,NA,1.83,-52.61%,74.6%,NA
Sina Corporation,SINA,-1.46,15.22,8.57,1.23,1.1,7.21,6.47,0.99,77.19%,22.94%,-3.26%,NA,2.68,-3.0%,10.4%,NA
Alibaba Group Holding Limited,BABA,9.31,27.78,47.8,NA,10.43,NA,3.23,0.99,45.12%,18.57%,29.32%,NA,1.91,222.72%,23.94%,NA
Capital Senior Living Corporati,CSU,-130.09,-3.61,-0.01,0.14,NA,24.82,26.67,2.48,32.57%,-3.88%,-8.13%,NA,0.49,13.68%,-35.39%,NA
SAGE GROUP PLC ORD 1 4/77P,SGE.L,28.1,21.6,NA,3.5,401.46,12.24,3.56,0.49,93.38%,27.27%,16.29%,3.77%,1.23,18.71%,-14.91%,NA
"Groupon, Inc.",GRPN,-7.9,35.32,0.87,0.56,9.49,-43.29,11.19,2.58,53.46%,1.8%,-1.01%,NA,1.08,-22.68%,-44.18%,NA
TENCENT,0700.HK,11.01,62.74,NA,NA,136.67,NA,3.29,0.61,44.42%,25.82%,24.73%,0.17%,1.06,192.55%,83.32%,NA
"Slack Technologies, Inc.",WORK,-1.77,-203.1,NA,29.48,32.0,-100.26,-1.36,NA,84.58%,-87.91%,-90.58%,NA,1.87,-87.33%,105.25%,NA
"Benefitfocus, Inc.",BNFT,-1.02,-99.93,-1.44,1.61,NA,121.98,-52.28,1.78,51.27%,-8.14%,-15.39%,NA,2.46,84.79%,-24.5%,NA
"NetEase, Inc.",NTES,6.67,17.51,157.04,NA,2.27,NA,2.38,0.61,53.27%,23.28%,35.85%,0.79%,2.23,60.36%,84.2%,NA
Shopify Inc.,SHOP,1.62,739.16,3.1,59.72,23.62,2375.08,-4.19,1.6,54.85%,-8.94%,-7.91%,NA,8.68,-2.24%,155.57%,NA
DXC Technology Company,DXC,-15.2,8.38,-1.42,0.39,1.69,5.84,6.25,2.48,23.89%,8.48%,-27.43%,NA,1.14,-121.89%,-6.79%,NA
